areaType,areaName,areaCode,date,newCasesBySpecimenDateRollingSum,newCasesBySpecimenDateRollingRate,newCasesBySpecimenDateChange,newCasesBySpecimenDateChangePercentage
region,London,E12000007,2023-06-14,449,5,-140,-23.800000000000000711
region,London,E12000007,2023-06-13,483,5.4000000000000003553,-116,-19.399999999999998579
region,London,E12000007,2023-06-12,514,5.7000000000000001776,-81,-13.599999999999999645
region,London,E12000007,2023-06-11,556,6.2000000000000001776,-20,-3.5
region,London,E12000007,2023-06-10,554,6.2000000000000001776,-26,-4.5
region,London,E12000007,2023-06-09,567,6.2999999999999998224,-5,-0.9000000000000000222
region,London,E12000007,2023-06-08,577,6.4000000000000003553,1,0.2000000000000000111
region,London,E12000007,2023-06-07,589,6.5,-10,-1.6999999999999999556
region,London,E12000007,2023-06-06,599,6.7000000000000001776,-12,-2
region,London,E12000007,2023-06-05,595,6.5999999999999996447,-34,-5.4000000000000003553
region,London,E12000007,2023-06-04,576,6.4000000000000003553,-93,-13.900000000000000355
region,London,E12000007,2023-06-03,580,6.4000000000000003553,-142,-19.699999999999999289
region,London,E12000007,2023-06-02,572,6.4000000000000003553,-184,-24.300000000000000711
region,London,E12000007,2023-06-01,576,6.4000000000000003553,-205,-26.199999999999999289
region,London,E12000007,2023-05-31,599,6.7000000000000001776,-195,-24.600000000000001421
region,London,E12000007,2023-05-30,611,6.7999999999999998224,-194,-24.100000000000001421
region,London,E12000007,2023-05-29,629,7,-200,-24.100000000000001421
region,London,E12000007,2023-05-28,669,7.4000000000000003553,-178,-21
region,London,E12000007,2023-05-27,722,8,-145,-16.699999999999999289
region,London,E12000007,2023-05-26,756,8.4000000000000003553,-111,-12.800000000000000711
region,London,E12000007,2023-05-25,781,8.6999999999999992895,-101,-11.5
region,London,E12000007,2023-05-24,794,8.8000000000000007105,-103,-11.5
region,London,E12000007,2023-05-23,805,8.9000000000000003553,-117,-12.699999999999999289
region,London,E12000007,2023-05-22,829,9.1999999999999992895,-114,-12.099999999999999645
region,London,E12000007,2023-05-21,847,9.4000000000000003553,-103,-10.800000000000000711
region,London,E12000007,2023-05-20,867,9.5999999999999996447,-72,-7.7000000000000001776
region,London,E12000007,2023-05-19,867,9.5999999999999996447,-82,-8.5999999999999996447
region,London,E12000007,2023-05-18,882,9.8000000000000007105,-90,-9.3000000000000007105
region,London,E12000007,2023-05-17,897,10,-119,-11.699999999999999289
region,London,E12000007,2023-05-16,922,10.199999999999999289,-106,-10.300000000000000711
region,London,E12000007,2023-05-15,943,10.5,-126,-11.800000000000000711
region,London,E12000007,2023-05-14,950,10.599999999999999645,-167,-15
region,London,E12000007,2023-05-13,939,10.400000000000000355,-176,-15.800000000000000711
region,London,E12000007,2023-05-12,949,10.5,-209,-18
region,London,E12000007,2023-05-11,972,10.800000000000000711,-192,-16.5
region,London,E12000007,2023-05-10,1016,11.300000000000000711,-153,-13.099999999999999645
region,London,E12000007,2023-05-09,1028,11.400000000000000355,-141,-12.099999999999999645
region,London,E12000007,2023-05-08,1069,11.900000000000000355,-93,-8
region,London,E12000007,2023-05-07,1117,12.400000000000000355,-31,-2.7000000000000001776
region,London,E12000007,2023-05-06,1115,12.400000000000000355,-85,-7.0999999999999996447
region,London,E12000007,2023-05-05,1158,12.900000000000000355,-44,-3.7000000000000001776
region,London,E12000007,2023-05-04,1164,12.900000000000000355,-37,-3.1000000000000000888
region,London,E12000007,2023-05-03,1169,13,-14,-1.1999999999999999556
region,London,E12000007,2023-05-02,1169,13,-48,-3.8999999999999999112
region,London,E12000007,2023-05-01,1162,12.900000000000000355,-64,-5.2000000000000001776
region,London,E12000007,2023-04-30,1148,12.800000000000000711,-92,-7.4000000000000003553
region,London,E12000007,2023-04-29,1200,13.300000000000000711,-50,-4
region,London,E12000007,2023-04-28,1202,13.400000000000000355,-27,-2.2000000000000001776
region,London,E12000007,2023-04-27,1201,13.300000000000000711,-52,-4.2000000000000001776
region,London,E12000007,2023-04-26,1183,13.099999999999999645,-91,-7.0999999999999996447
region,London,E12000007,2023-04-25,1217,13.5,-19,-1.5
region,London,E12000007,2023-04-24,1226,13.599999999999999645,-48,-3.7999999999999998224
region,London,E12000007,2023-04-23,1240,13.800000000000000711,1,0.10000000000000000555
region,London,E12000007,2023-04-22,1250,13.900000000000000355,50,4.2000000000000001776
region,London,E12000007,2023-04-21,1229,13.699999999999999289,22,1.8000000000000000444
region,London,E12000007,2023-04-20,1253,13.900000000000000355,41,3.3999999999999999112
region,London,E12000007,2023-04-19,1274,14.199999999999999289,71,5.9000000000000003553
region,London,E12000007,2023-04-18,1236,13.699999999999999289,15,1.1999999999999999556
region,London,E12000007,2023-04-17,1274,14.199999999999999289,88,7.4000000000000003553
region,London,E12000007,2023-04-16,1239,13.800000000000000711,23,1.8999999999999999112
region,London,E12000007,2023-04-15,1200,13.300000000000000711,-89,-6.9000000000000003553
region,London,E12000007,2023-04-14,1207,13.400000000000000355,-136,-10.099999999999999645
region,London,E12000007,2023-04-13,1212,13.5,-189,-13.5
region,London,E12000007,2023-04-12,1203,13.400000000000000355,-289,-19.399999999999998579
region,London,E12000007,2023-04-11,1221,13.599999999999999645,-398,-24.600000000000001421
region,London,E12000007,2023-04-10,1186,13.199999999999999289,-541,-31.300000000000000711
region,London,E12000007,2023-04-09,1216,13.5,-644,-34.600000000000001421
region,London,E12000007,2023-04-08,1289,14.300000000000000711,-623,-32.600000000000001421
region,London,E12000007,2023-04-07,1343,14.900000000000000355,-662,-33
region,London,E12000007,2023-04-06,1401,15.599999999999999645,-714,-33.799999999999997158
region,London,E12000007,2023-04-05,1492,16.600000000000001421,-694,-31.699999999999999289
region,London,E12000007,2023-04-04,1619,18,-661,-29
region,London,E12000007,2023-04-03,1727,19.199999999999999289,-663,-27.699999999999999289
region,London,E12000007,2023-04-02,1860,20.699999999999999289,-605,-24.5
region,London,E12000007,2023-04-01,1912,21.199999999999999289,-651,-25.399999999999998579
region,London,E12000007,2023-03-31,2005,22.300000000000000711,-591,-22.800000000000000711
region,London,E12000007,2023-03-30,2115,23.5,-491,-18.800000000000000711
region,London,E12000007,2023-03-29,2186,24.300000000000000711,-500,-18.600000000000001421
region,London,E12000007,2023-03-28,2280,25.300000000000000711,-418,-15.5
region,London,E12000007,2023-03-27,2390,26.5,-411,-14.699999999999999289
region,London,E12000007,2023-03-26,2465,27.399999999999998579,-476,-16.199999999999999289
region,London,E12000007,2023-03-25,2563,28.5,-423,-14.199999999999999289
region,London,E12000007,2023-03-24,2596,28.800000000000000711,-376,-12.699999999999999289
region,London,E12000007,2023-03-23,2606,28.899999999999998579,-399,-13.300000000000000711
region,London,E12000007,2023-03-22,2686,29.800000000000000711,-353,-11.599999999999999645
region,London,E12000007,2023-03-21,2698,30,-328,-10.800000000000000711
region,London,E12000007,2023-03-20,2801,31.100000000000001421,-164,-5.5
region,London,E12000007,2023-03-19,2941,32.700000000000002842,13,0.4000000000000000222
region,London,E12000007,2023-03-18,2986,33.200000000000002842,93,3.2000000000000001776
region,London,E12000007,2023-03-17,2972,33,60,2.1000000000000000888
region,London,E12000007,2023-03-16,3005,33.399999999999998579,131,4.5999999999999996447
region,London,E12000007,2023-03-15,3039,33.799999999999997158,217,7.7000000000000001776
region,London,E12000007,2023-03-14,3026,33.600000000000001421,211,7.5
region,London,E12000007,2023-03-13,2965,32.899999999999998579,167,6
region,London,E12000007,2023-03-12,2928,32.5,143,5.0999999999999996447
region,London,E12000007,2023-03-11,2893,32.100000000000001421,150,5.5
region,London,E12000007,2023-03-10,2912,32.299999999999997158,202,7.5
region,London,E12000007,2023-03-09,2874,31.899999999999998579,170,6.2999999999999998224
region,London,E12000007,2023-03-08,2822,31.300000000000000711,159,6
region,London,E12000007,2023-03-07,2815,31.300000000000000711,71,2.6000000000000000888
region,London,E12000007,2023-03-06,2798,31.100000000000001421,-24,-0.9000000000000000222
region,London,E12000007,2023-03-05,2785,30.899999999999998579,-79,-2.7999999999999998224
region,London,E12000007,2023-03-04,2743,30.5,-233,-7.7999999999999998224
region,London,E12000007,2023-03-03,2710,30.100000000000001421,-367,-11.900000000000000355
region,London,E12000007,2023-03-02,2704,30,-481,-15.099999999999999645
region,London,E12000007,2023-03-01,2663,29.600000000000001421,-599,-18.399999999999998579
region,London,E12000007,2023-02-28,2744,30.5,-489,-15.099999999999999645
