date,schools_closed,pubs_closed,shops_closed,eating_places_closed,stay_at_home,household_mixing_indoors_banned,wfh,rule_of_6_indoors,curfew,eat_out_to_help_out
2022/5/16,0,0,0,0,0,0,1,0,0,0
2022/5/23,0,0,0,0,0,0,1,0,0,0
2022/5/30,0,0,0,0,0,0,1,0,0,0
2022/6/6,0,0,0,0,0,0,1,0,0,0
2022/6/13,0,0,0,0,0,0,1,0,0,0
2022/6/20,0,0,0,0,0,0,1,0,0,0
2022/6/27,0,0,0,0,0,0,1,0,0,0
2022/7/4,0,0,0,0,0,0,1,0,0,0
2022/7/11,0,0,0,0,0,0,1,0,0,0
2022/7/18,0,0,0,0,0,0,1,0,0,0
2022/7/25,0,0,0,0,0,0,1,0,0,0
2022/8/1,0,0,0,0,0,0,1,0,0,0
2022/8/8,0,0,0,0,0,0,1,0,0,0
2022/8/15,0,0,0,0,0,0,1,0,0,0
2022/8/22,0,0,0,0,0,0,1,0,0,0
2022/8/29,0,0,0,0,0,0,1,0,0,0
2022/9/5,0,0,0,0,0,0,1,0,0,0
2022/9/12,0,0,0,0,0,0,1,0,0,0
2022/9/19,0,0,0,0,0,0,1,0,0,0
2022/9/26,0,0,0,0,0,0,1,0,0,0
2022/10/3,0,0,0,0,0,0,1,0,0,0
2022/10/10,0,0,0,0,0,0,1,0,0,0
2022/10/17,0,0,0,0,0,0,1,0,0,0
2022/10/24,0,0,0,0,0,0,1,0,0,0
2022/10/31,0,0,0,0,0,0,1,0,0,0
2022/11/7,0,0,0,0,0,0,1,0,0,0
2022/11/14,0,0,0,0,0,0,1,0,0,0
2022/11/21,0,0,0,0,0,0,1,0,0,0
2022/11/28,0,0,0,0,0,0,1,0,0,0
2022/12/5,0,0,0,0,0,0,1,0,0,0
2022/12/12,0,0,0,0,0,0,1,0,0,0
2022/12/19,0,0,0,0,0,0,1,0,0,0
2022/12/26,0,0,0,0,0,0,1,0,0,0
2023/1/2,0,0,0,0,0,0,1,0,0,0
2023/1/9,0,0,0,0,0,0,1,0,0,0
2023/1/16,0,0,0,0,0,0,1,0,0,0
2023/1/23,0,0,0,0,0,0,1,0,0,0
2023/1/30,0,0,0,0,0,0,1,0,0,0
2023/2/6,0,0,0,0,0,0,1,0,0,0
2023/2/13,0,0,0,0,0,0,1,0,0,0
2023/2/20,0,0,0,0,0,0,1,0,0,0
2023/2/27,0,0,0,0,0,0,1,0,0,0
2023/3/6,0,0,0,0,0,0,1,0,0,0
2023/3/13,0,0,0,0,0,0,1,0,0,0
2023/3/20,0,0,0,0,0,0,1,0,0,0
2023/3/27,0,0,0,0,0,0,1,0,0,0
2023/4/3,0,0,0,0,0,0,1,0,0,0
2023/4/10,0,0,0,0,0,0,1,0,0,0
2023/4/17,0,0,0,0,0,0,1,0,0,0
2023/4/24,0,0,0,0,0,0,1,0,0,0
2023/5/1,0,0,0,0,0,0,1,0,0,0
2023/5/8,0,0,0,0,0,0,1,0,0,0
2023/5/15,0,0,0,0,0,0,1,0,0,0
2023/5/22,0,0,0,0,0,0,1,0,0,0
2023/5/29,0,0,0,0,0,0,1,0,0,0
2023/6/5,0,0,0,0,0,0,1,0,0,0
2023/6/12,0,0,0,0,0,0,1,0,0,0
2023/6/19,0,0,0,0,0,0,1,0,0,0
2023/6/26,0,0,0,0,0,0,1,0,0,0
2023/7/3,0,0,0,0,0,0,1,0,0,0
2023/7/10,0,0,0,0,0,0,1,0,0,0
2023/7/17,0,0,0,0,0,0,1,0,0,0
2023/7/24,0,0,0,0,0,0,1,0,0,0
2023/7/31,0,0,0,0,0,0,1,0,0,0
2023/8/7,0,0,0,0,0,0,1,0,0,0
2023/8/14,0,0,0,0,0,0,1,0,0,0
2023/8/21,0,0,0,0,0,0,1,0,0,0
2023/8/28,0,0,0,0,0,0,1,0,0,0
2023/9/4,0,0,0,0,0,0,1,0,0,0
2023/9/11,0,0,0,0,0,0,1,0,0,0
2023/9/18,0,0,0,0,0,0,1,0,0,0
2023/9/25,0,0,0,0,0,0,1,0,0,0
2023/10/2,0,0,0,0,0,0,1,0,0,0
2023/10/9,0,0,0,0,0,0,1,0,0,0
2023/10/16,0,0,0,0,0,0,1,0,0,0
2023/10/23,0,0,0,0,0,0,1,0,0,0
2023/10/30,0,0,0,0,0,0,1,0,0,0
2023/11/6,0,0,0,0,0,0,1,0,0,0
2023/11/13,0,0,0,0,0,0,1,0,0,0
2023/11/20,0,0,0,0,0,0,1,0,0,0
2023/11/27,0,0,0,0,0,0,1,0,0,0
2023/12/4,0,0,0,0,0,0,1,0,0,0
2023/12/11,0,0,0,0,0,0,1,0,0,0
2023/12/18,0,0,0,0,0,0,1,0,0,0
2023/12/25,0,0,0,0,0,0,1,0,0,0
2024/1/1,0,0,0,0,0,0,1,0,0,0
