areaType,areaName,areaCode,date,newVirusTestsBySpecimenDate,cumVirusTestsBySpecimenDate,newPCRTestsBySpecimenDate,cumPCRTestsBySpecimenDate,newLFDTestsBySpecimenDate,cumLFDTestsBySpecimenDate
region,London,E12000007,2021-10-18,164654,44747719,80811,24460901,83843,20286818
region,London,E12000007,2021-10-17,142932,44583065,65850,24380090,77082,20202975
region,London,E12000007,2021-10-16,125731,44440133,78405,24314240,47326,20125893
region,London,E12000007,2021-10-15,146592,44314402,87025,24235835,59567,20078567
region,London,E12000007,2021-10-14,151143,44167810,78534,24148810,72609,20019000
region,London,E12000007,2021-10-13,164033,44016667,85728,24070276,78305,19946391
region,London,E12000007,2021-10-12,156151,43852634,91763,23984548,64388,19868086
region,London,E12000007,2021-10-11,165147,43696483,77176,23892785,87971,19803698
region,London,E12000007,2021-10-10,138829,43531336,58587,23815609,80242,19715727
region,London,E12000007,2021-10-09,121013,43392507,71550,23757022,49463,19635485
region,London,E12000007,2021-10-08,140284,43271494,80172,23685472,60112,19586022
region,London,E12000007,2021-10-07,150622,43131210,77758,23605300,72864,19525910
region,London,E12000007,2021-10-06,167351,42980588,87571,23527542,79780,19453046
region,London,E12000007,2021-10-05,154785,42813237,93561,23439971,61224,19373266
region,London,E12000007,2021-10-04,170515,42658452,83801,23346410,86714,19312042
region,London,E12000007,2021-10-03,143726,42487937,60546,23262609,83180,19225328
region,London,E12000007,2021-10-02,125403,42344211,71032,23202063,54371,19142148
region,London,E12000007,2021-10-01,141099,42218808,77652,23131031,63447,19087777
region,London,E12000007,2021-09-30,159983,42077709,81580,23053379,78403,19024330
region,London,E12000007,2021-09-29,171408,41917726,83490,22971799,87918,18945927
region,London,E12000007,2021-09-28,163879,41746318,99060,22888309,64819,18858009
region,London,E12000007,2021-09-27,177449,41582439,86458,22789249,90991,18793190
region,London,E12000007,2021-09-26,164656,41404990,73059,22702791,91597,18702199
region,London,E12000007,2021-09-25,135758,41240334,73294,22629732,62464,18610602
region,London,E12000007,2021-09-24,152745,41104576,86332,22556438,66413,18548138
region,London,E12000007,2021-09-23,167943,40951831,87473,22470106,80470,18481725
region,London,E12000007,2021-09-22,172403,40783888,87865,22382633,84538,18401255
region,London,E12000007,2021-09-21,159776,40611485,95725,22294768,64051,18316717
region,London,E12000007,2021-09-20,179724,40451709,88807,22199043,90917,18252666
region,London,E12000007,2021-09-19,168237,40271985,68953,22110236,99284,18161749
region,London,E12000007,2021-09-18,126627,40103748,68466,22041283,58161,18062465
region,London,E12000007,2021-09-17,153377,39977121,83724,21972817,69653,18004304
region,London,E12000007,2021-09-16,161740,39823744,83674,21889093,78066,17934651
region,London,E12000007,2021-09-15,181422,39662004,92494,21805419,88928,17856585
region,London,E12000007,2021-09-14,160604,39480582,91729,21712925,68875,17767657
region,London,E12000007,2021-09-13,179996,39319978,82140,21621196,97856,17698782
region,London,E12000007,2021-09-12,155145,39139982,61785,21539056,93360,17600926
region,London,E12000007,2021-09-11,133529,38984837,71009,21477271,62520,17507566
region,London,E12000007,2021-09-10,181393,38851308,80886,21406262,100507,17445046
region,London,E12000007,2021-09-09,204704,38669915,83306,21325376,121398,17344539
region,London,E12000007,2021-09-08,204622,38465211,86231,21242070,118391,17223141
region,London,E12000007,2021-09-07,222220,38260589,96510,21155839,125710,17104750
region,London,E12000007,2021-09-06,259291,38038369,87217,21059329,172074,16979040
region,London,E12000007,2021-09-05,156174,37779078,66562,20972112,89612,16806966
region,London,E12000007,2021-09-04,144308,37622904,81225,20905550,63083,16717354
region,London,E12000007,2021-09-03,249105,37478596,100255,20824325,148850,16654271
region,London,E12000007,2021-09-02,220314,37229491,100734,20724070,119580,16505421
region,London,E12000007,2021-09-01,196397,37009177,102788,20623336,93609,16385841
region,London,E12000007,2021-08-31,183394,36812780,95855,20520548,87539,16292232
region,London,E12000007,2021-08-30,136106,36629386,72693,20424693,63413,16204693
region,London,E12000007,2021-08-29,133923,36493280,67429,20352000,66494,16141280
region,London,E12000007,2021-08-28,148823,36359357,73320,20284571,75503,16074786
region,London,E12000007,2021-08-27,166906,36210534,83528,20211251,83378,15999283
region,London,E12000007,2021-08-26,161121,36043628,85080,20127723,76041,15915905
region,London,E12000007,2021-08-25,153931,35882507,88238,20042643,65693,15839864
region,London,E12000007,2021-08-24,144488,35728576,93023,19954405,51465,15774171
region,London,E12000007,2021-08-23,143744,35584088,81417,19861382,62327,15722706
region,London,E12000007,2021-08-22,114751,35440344,63970,19779965,50781,15660379
region,London,E12000007,2021-08-21,116531,35325593,67455,19715995,49076,15609598
region,London,E12000007,2021-08-20,141761,35209062,82803,19648540,58958,15560522
region,London,E12000007,2021-08-19,143901,35067301,84277,19565737,59624,15501564
region,London,E12000007,2021-08-18,139819,34923400,82851,19481460,56968,15441940
region,London,E12000007,2021-08-17,141726,34783581,90465,19398609,51261,15384972
region,London,E12000007,2021-08-16,140615,34641855,77923,19308144,62692,15333711
region,London,E12000007,2021-08-15,114696,34501240,58786,19230221,55910,15271019
region,London,E12000007,2021-08-14,122389,34386544,63534,19171435,58855,15215109
region,London,E12000007,2021-08-13,151750,34264155,84870,19107901,66880,15156254
region,London,E12000007,2021-08-12,146593,34112405,83422,19023031,63171,15089374
region,London,E12000007,2021-08-11,150038,33965812,86806,18939609,63232,15026203
region,London,E12000007,2021-08-10,148251,33815774,91650,18852803,56601,14962971
region,London,E12000007,2021-08-09,143390,33667523,77605,18761153,65785,14906370
region,London,E12000007,2021-08-08,117963,33524133,62005,18683548,55958,14840585
region,London,E12000007,2021-08-07,131349,33406170,67788,18621543,63561,14784627
region,London,E12000007,2021-08-06,151498,33274821,78230,18553755,73268,14721066
region,London,E12000007,2021-08-05,151978,33123323,82972,18475525,69006,14647798
region,London,E12000007,2021-08-04,148373,32971345,84189,18392553,64184,14578792
region,London,E12000007,2021-08-03,139461,32822972,82076,18308364,57385,14514608
region,London,E12000007,2021-08-02,143366,32683511,75331,18226288,68035,14457223
region,London,E12000007,2021-08-01,115147,32540145,56014,18150957,59133,14389188
region,London,E12000007,2021-07-31,131511,32424998,69259,18094943,62252,14330055
region,London,E12000007,2021-07-30,162384,32293487,88444,18025684,73940,14267803
region,London,E12000007,2021-07-29,152606,32131103,83619,17937240,68987,14193863
region,London,E12000007,2021-07-28,154016,31978497,87873,17853621,66143,14124876
region,London,E12000007,2021-07-27,148931,31824481,90240,17765748,58691,14058733
region,London,E12000007,2021-07-26,159116,31675550,85189,17675508,73927,14000042
region,London,E12000007,2021-07-25,124970,31516434,61491,17590319,63479,13926115
region,London,E12000007,2021-07-24,147760,31391464,82843,17528828,64917,13862636
region,London,E12000007,2021-07-23,173523,31243704,97346,17445985,76177,13797719
region,London,E12000007,2021-07-22,179420,31070181,99636,17348639,79784,13721542
region,London,E12000007,2021-07-21,174620,30890761,95211,17249003,79409,13641758
region,London,E12000007,2021-07-20,162699,30716141,98652,17153792,64047,13562349
region,London,E12000007,2021-07-19,190735,30553442,98432,17055140,92303,13498302
region,London,E12000007,2021-07-18,157440,30362707,71342,16956708,86098,13405999
region,London,E12000007,2021-07-17,134059,30205267,77339,16885366,56720,13319901
region,London,E12000007,2021-07-16,166166,30071208,90862,16808027,75304,13263181
region,London,E12000007,2021-07-15,185818,29905042,95608,16717165,90210,13187877
region,London,E12000007,2021-07-14,186071,29719224,93225,16621557,92846,13097667
region,London,E12000007,2021-07-13,156376,29533153,89078,16528332,67298,13004821
region,London,E12000007,2021-07-12,184438,29376777,93814,16439254,90624,12937523
region,London,E12000007,2021-07-11,171987,29192339,75762,16345440,96225,12846899
region,London,E12000007,2021-07-10,139409,29020352,74714,16269678,64695,12750674
region,London,E12000007,2021-07-09,163354,28880943,87995,16194964,75359,12685979
region,London,E12000007,2021-07-08,166119,28717589,75141,16106969,90978,12610620
region,London,E12000007,2021-07-07,190074,28551470,85926,16031828,104148,12519642
region,London,E12000007,2021-07-06,184543,28361396,88397,15945902,96146,12415494
region,London,E12000007,2021-07-05,214620,28176853,92219,15857505,122401,12319348
region,London,E12000007,2021-07-04,175461,27962233,66831,15765286,108630,12196947
region,London,E12000007,2021-07-03,112972,27786772,64856,15698455,48116,12088317
region,London,E12000007,2021-07-02,144929,27673800,77782,15633599,67147,12040201
region,London,E12000007,2021-07-01,168891,27528871,76943,15555817,91948,11973054
region,London,E12000007,2021-06-30,181993,27359980,78631,15478874,103362,11881106
region,London,E12000007,2021-06-29,153971,27177987,80705,15400243,73266,11777744
region,London,E12000007,2021-06-28,182842,27024016,71368,15319538,111474,11704478
region,London,E12000007,2021-06-27,165547,26841174,55538,15248170,110009,11593004
region,London,E12000007,2021-06-26,104699,26675627,59000,15192632,45699,11482995
region,London,E12000007,2021-06-25,129895,26570928,66151,15133632,63744,11437296
region,London,E12000007,2021-06-24,154504,26441033,69657,15067481,84847,11373552
region,London,E12000007,2021-06-23,160975,26286529,70296,14997824,90679,11288705
region,London,E12000007,2021-06-22,138643,26125554,76046,14927528,62597,11198026
region,London,E12000007,2021-06-21,164529,25986911,67877,14851482,96652,11135429
region,London,E12000007,2021-06-20,150917,25822382,49827,14783605,101090,11038777
region,London,E12000007,2021-06-19,97452,25671465,58998,14733778,38454,10937687
region,London,E12000007,2021-06-18,125366,25574013,68259,14674780,57107,10899233
region,London,E12000007,2021-06-17,152782,25448647,66721,14606521,86061,10842126
region,London,E12000007,2021-06-16,157013,25295865,68557,14539800,88456,10756065
region,London,E12000007,2021-06-15,130252,25138852,71220,14471243,59032,10667609
region,London,E12000007,2021-06-14,147727,25008600,54517,14400023,93210,10608577
region,London,E12000007,2021-06-13,141747,24860873,45441,14345506,96306,10515367
region,London,E12000007,2021-06-12,98208,24719126,58672,14300065,39536,10419061
region,London,E12000007,2021-06-11,122398,24620918,66998,14241393,55400,10379525
region,London,E12000007,2021-06-10,140399,24498520,64004,14174395,76395,10324125
region,London,E12000007,2021-06-09,148073,24358121,62328,14110391,85745,10247730
region,London,E12000007,2021-06-08,121425,24210048,67210,14048063,54215,10161985
region,London,E12000007,2021-06-07,150202,24088623,56651,13980853,93551,10107770
region,London,E12000007,2021-06-06,155286,23938421,38406,13924202,116880,10014219
region,London,E12000007,2021-06-05,81032,23783135,46958,13885796,34074,9897339
region,London,E12000007,2021-06-04,109124,23702103,60463,13838838,48661,9863265
region,London,E12000007,2021-06-03,119269,23592979,59044,13778375,60225,9814604
region,London,E12000007,2021-06-02,121537,23473710,58179,13719331,63358,9754379
region,London,E12000007,2021-06-01,118202,23352173,59110,13661152,59092,9691021
region,London,E12000007,2021-05-31,97465,23233971,41350,13602042,56115,9631929
region,London,E12000007,2021-05-30,93267,23136506,43057,13560692,50210,9575814
region,London,E12000007,2021-05-29,92678,23043239,59590,13517635,33088,9525604
region,London,E12000007,2021-05-28,115904,22950561,65942,13458045,49962,9492516
region,London,E12000007,2021-05-27,150027,22834657,73110,13392103,76917,9442554
region,London,E12000007,2021-05-26,163663,22684630,72373,13318993,91290,9365637
region,London,E12000007,2021-05-25,123161,22520967,67278,13246620,55883,9274347
region,London,E12000007,2021-05-24,143532,22397806,50104,13179342,93428,9218464
region,London,E12000007,2021-05-23,146191,22254274,35829,13129238,110362,9125036
region,London,E12000007,2021-05-22,77148,22108083,41577,13093409,35571,9014674
region,London,E12000007,2021-05-21,109646,22030935,57861,13051832,51785,8979103
region,London,E12000007,2021-05-20,134319,21921289,50658,12993971,83661,8927318
region,London,E12000007,2021-05-19,150393,21786970,53662,12943313,96731,8843657
region,London,E12000007,2021-05-18,106967,21636577,51013,12889651,55954,8746926
region,London,E12000007,2021-05-17,139839,21529610,43012,12838638,96827,8690972
region,London,E12000007,2021-05-16,143705,21389771,31101,12795626,112604,8594145
region,London,E12000007,2021-05-15,72407,21246066,40391,12764525,32016,8481541
region,London,E12000007,2021-05-14,99698,21173659,48218,12724134,51480,8449525
region,London,E12000007,2021-05-13,124954,21073961,44688,12675916,80266,8398045
region,London,E12000007,2021-05-12,139477,20949007,46707,12631228,92770,8317779
region,London,E12000007,2021-05-11,102494,20809530,48909,12584521,53585,8225009
region,London,E12000007,2021-05-10,138586,20707036,40685,12535612,97901,8171424
region,London,E12000007,2021-05-09,157616,20568450,34319,12494927,123297,8073523
region,London,E12000007,2021-05-08,68728,20410834,36200,12460608,32528,7950226
region,London,E12000007,2021-05-07,96702,20342106,47202,12424408,49500,7917698
region,London,E12000007,2021-05-06,131344,20245404,48575,12377206,82769,7868198
region,London,E12000007,2021-05-05,143897,20114060,43601,12328631,100296,7785429
region,London,E12000007,2021-05-04,126234,19970163,44101,12285030,82133,7685133
region,London,E12000007,2021-05-03,146111,19843929,32230,12240929,113881,7603000
region,London,E12000007,2021-05-02,101723,19697818,28735,12208699,72988,7489119
region,London,E12000007,2021-05-01,69274,19596095,37131,12179964,32143,7416131
region,London,E12000007,2021-04-30,90524,19526821,41135,12142833,49389,7383988
region,London,E12000007,2021-04-29,134718,19436297,45279,12101698,89439,7334599
region,London,E12000007,2021-04-28,163390,19301579,49860,12056419,113530,7245160
region,London,E12000007,2021-04-27,108455,19138189,51901,12006559,56554,7131630
region,London,E12000007,2021-04-26,147881,19029734,45276,11954658,102605,7075076
region,London,E12000007,2021-04-25,180722,18881853,35309,11909382,145413,6972471
region,London,E12000007,2021-04-24,82200,18701131,45116,11874073,37084,6827058
region,London,E12000007,2021-04-23,117695,18618931,66709,11828957,50986,6789974
region,London,E12000007,2021-04-22,151674,18501236,59185,11762248,92489,6738988
region,London,E12000007,2021-04-21,175453,18349562,60590,11703063,114863,6646499
region,London,E12000007,2021-04-20,109089,18174109,50893,11642473,58196,6531636
region,London,E12000007,2021-04-19,160054,18065020,48946,11591580,111108,6473440
region,London,E12000007,2021-04-18,214315,17904966,41288,11542634,173027,6362332
region,London,E12000007,2021-04-17,95851,17690651,58451,11501346,37400,6189305
region,London,E12000007,2021-04-16,116962,17594800,64605,11442895,52357,6151905
region,London,E12000007,2021-04-15,139310,17477838,59240,11378290,80070,6099548
region,London,E12000007,2021-04-14,141117,17338528,51743,11319050,89374,6019478
region,London,E12000007,2021-04-13,102996,17197411,48361,11267307,54635,5930104
region,London,E12000007,2021-04-12,122927,17094415,40835,11218946,82092,5875469
region,London,E12000007,2021-04-11,121065,16971488,30902,11178111,90163,5793377
region,London,E12000007,2021-04-10,67317,16850423,35656,11147209,31661,5703214
region,London,E12000007,2021-04-09,95876,16783106,49191,11111553,46685,5671553
region,London,E12000007,2021-04-08,115186,16687230,44874,11062362,70312,5624868
region,London,E12000007,2021-04-07,126002,16572044,45605,11017488,80397,5554556
region,London,E12000007,2021-04-06,96431,16446042,40074,10971883,56357,5474159
region,London,E12000007,2021-04-05,98648,16349611,27868,10931809,70780,5417802
region,London,E12000007,2021-04-04,92893,16250963,23561,10903941,69332,5347022
region,London,E12000007,2021-04-03,63520,16158070,34518,10880380,29002,5277690
region,London,E12000007,2021-04-02,76851,16094550,39971,10845862,36880,5248688
region,London,E12000007,2021-04-01,125101,16017699,46974,10805891,78127,5211808
region,London,E12000007,2021-03-31,145477,15892598,43754,10758917,101723,5133681
region,London,E12000007,2021-03-30,91198,15747121,50477,10715163,40721,5031958
region,London,E12000007,2021-03-29,115071,15655923,74172,10664686,40899,4991237
region,London,E12000007,2021-03-28,267403,15540852,34375,10590514,233028,4950338
region,London,E12000007,2021-03-27,67145,15273449,38180,10556139,28965,4717310
region,London,E12000007,2021-03-26,98011,15206304,40883,10517959,57128,4688345
region,London,E12000007,2021-03-25,160154,15108293,46765,10477076,113389,4631217
region,London,E12000007,2021-03-24,214019,14948139,51928,10430311,162091,4517828
region,London,E12000007,2021-03-23,127037,14734120,51114,10378383,75923,4355737
region,London,E12000007,2021-03-22,175280,14607083,39858,10327269,135422,4279814
region,London,E12000007,2021-03-21,214030,14431803,27560,10287411,186470,4144392
region,London,E12000007,2021-03-20,64305,14217773,36819,10259851,27486,3957922
region,London,E12000007,2021-03-19,132142,14153468,43374,10223032,88768,3930436
region,London,E12000007,2021-03-18,195375,14021326,43905,10179658,151470,3841668
region,London,E12000007,2021-03-17,217036,13825951,54575,10135753,162461,3690198
region,London,E12000007,2021-03-16,196969,13608915,46647,10081178,150322,3527737
region,London,E12000007,2021-03-15,232874,13411946,36628,10034531,196246,3377415
region,London,E12000007,2021-03-14,103828,13179072,23945,9997903,79883,3181169
region,London,E12000007,2021-03-13,55209,13075244,31986,9973958,23223,3101286
region,London,E12000007,2021-03-12,211970,13020035,41923,9941972,170047,3078063
region,London,E12000007,2021-03-11,235290,12808065,49279,9900049,186011,2908016
region,London,E12000007,2021-03-10,219687,12572775,58503,9850770,161184,2722005
region,London,E12000007,2021-03-09,208138,12353088,39135,9792267,169003,2560821
region,London,E12000007,2021-03-08,236868,12144950,36996,9753132,199872,2391818
region,London,E12000007,2021-03-07,88097,11908082,25759,9716136,62338,2191946
region,London,E12000007,2021-03-06,59048,11819985,35589,9690377,23459,2129608
region,London,E12000007,2021-03-05,135726,11760937,44827,9654788,90899,2106149
region,London,E12000007,2021-03-04,130121,11625211,45876,9609961,84245,2015250
region,London,E12000007,2021-03-03,102649,11495090,48526,9564085,54123,1931005
region,London,E12000007,2021-03-02,80863,11392441,39886,9515559,40977,1876882
region,London,E12000007,2021-03-01,96724,11311578,37899,9475673,58825,1835905
region,London,E12000007,2021-02-28,57703,11214854,26433,9437774,31270,1777080
region,London,E12000007,2021-02-27,47909,11157151,33306,9411341,14603,1745810
region,London,E12000007,2021-02-26,80069,11109242,43913,9378035,36156,1731207
region,London,E12000007,2021-02-25,84010,11029173,40481,9334122,43529,1695051
region,London,E12000007,2021-02-24,80922,10945163,42081,9293641,38841,1651522
region,London,E12000007,2021-02-23,71423,10864241,39045,9251560,32378,1612681
region,London,E12000007,2021-02-22,86746,10792818,33301,9212515,53445,1580303
region,London,E12000007,2021-02-21,55830,10706072,23152,9179214,32678,1526858
region,London,E12000007,2021-02-20,45830,10650242,30813,9156062,15017,1494180
region,London,E12000007,2021-02-19,64219,10604412,37655,9125249,26564,1479163
region,London,E12000007,2021-02-18,68530,10540193,42376,9087594,26154,1452599
region,London,E12000007,2021-02-17,68461,10471663,43613,9045218,24848,1426445
region,London,E12000007,2021-02-16,60222,10403202,37392,9001605,22830,1401597
region,London,E12000007,2021-02-15,61090,10342980,31152,8964213,29938,1378767
region,London,E12000007,2021-02-14,44052,10281890,25416,8933061,18636,1348829
region,London,E12000007,2021-02-13,44263,10237838,30078,8907645,14185,1330193
region,London,E12000007,2021-02-12,73974,10193575,40166,8877567,33808,1316008
region,London,E12000007,2021-02-11,84016,10119601,41674,8837401,42342,1282200
region,London,E12000007,2021-02-10,85237,10035585,45910,8795727,39327,1239858
region,London,E12000007,2021-02-09,68910,9950348,38360,8749817,30550,1200531
region,London,E12000007,2021-02-08,82995,9881438,34058,8711457,48937,1169981
region,London,E12000007,2021-02-07,62371,9798443,30186,8677399,32185,1121044
region,London,E12000007,2021-02-06,53017,9736072,36768,8647213,16249,1088859
region,London,E12000007,2021-02-05,81995,9683055,44767,8610445,37228,1072610
region,London,E12000007,2021-02-04,93619,9601060,48479,8565678,45140,1035382
region,London,E12000007,2021-02-03,90737,9507441,47007,8517199,43730,990242
region,London,E12000007,2021-02-02,81101,9416704,44694,8470192,36407,946512
region,London,E12000007,2021-02-01,87698,9335603,36182,8425498,51516,910105
region,London,E12000007,2021-01-31,60576,9247905,28845,8389316,31731,858589
region,London,E12000007,2021-01-30,49580,9187329,34037,8360471,15543,826858
region,London,E12000007,2021-01-29,85282,9137749,50098,8326434,35184,811315
region,London,E12000007,2021-01-28,107850,9052467,67132,8276336,40718,776131
region,London,E12000007,2021-01-27,84975,8944617,48907,8209204,36068,735413
region,London,E12000007,2021-01-26,73283,8859642,41961,8160297,31322,699345
region,London,E12000007,2021-01-25,80509,8786359,37271,8118336,43238,668023
region,London,E12000007,2021-01-24,48428,8705850,31912,8081065,16516,624785
region,London,E12000007,2021-01-23,60465,8657422,44167,8049153,16298,608269
region,London,E12000007,2021-01-22,85860,8596957,53788,8004986,32072,591971
region,London,E12000007,2021-01-21,94264,8511097,62808,7951198,31456,559899
region,London,E12000007,2021-01-20,89578,8416833,61394,7888390,28184,528443
region,London,E12000007,2021-01-19,76943,8327255,47183,7826996,29760,500259
region,London,E12000007,2021-01-18,84516,8250312,46139,7779813,38377,470499
region,London,E12000007,2021-01-17,55527,8165796,40419,7733674,15108,432122
region,London,E12000007,2021-01-16,81992,8110269,66911,7693255,15081,417014
region,London,E12000007,2021-01-15,85205,8028277,57110,7626344,28095,401933
region,London,E12000007,2021-01-14,97048,7943072,71110,7569234,25938,373838
region,London,E12000007,2021-01-13,85808,7846024,61589,7498124,24219,347900
region,London,E12000007,2021-01-12,88183,7760216,63834,7436535,24349,323681
region,London,E12000007,2021-01-11,84993,7672033,55423,7372701,29570,299332
region,London,E12000007,2021-01-10,68142,7587040,57696,7317278,10446,269762
region,London,E12000007,2021-01-09,84271,7518898,72447,7259582,11824,259316
region,London,E12000007,2021-01-08,104080,7434627,83122,7187135,20958,247492
region,London,E12000007,2021-01-07,95938,7330547,77158,7104013,18780,226534
region,London,E12000007,2021-01-06,92138,7234609,76417,7026855,15721,207754
region,London,E12000007,2021-01-05,88959,7142471,74820,6950438,14139,192033
region,London,E12000007,2021-01-04,90526,7053512,74254,6875618,16272,177894
region,London,E12000007,2021-01-03,67846,6962986,58524,6801364,9322,161622
region,London,E12000007,2021-01-02,82723,6895140,72967,6742840,9756,152300
region,London,E12000007,2021-01-01,53104,6812417,49793,6669873,3311,142544
region,London,E12000007,2020-12-31,97790,6759313,87539,6620080,10251,139233
region,London,E12000007,2020-12-30,74179,6661523,63177,6532541,11002,128982
region,London,E12000007,2020-12-29,68297,6587344,58409,6469364,9888,117980
region,London,E12000007,2020-12-28,72960,6519047,68527,6410955,4433,108092
region,London,E12000007,2020-12-27,72844,6446087,68934,6342428,3910,103659
region,London,E12000007,2020-12-26,54903,6373243,52772,6273494,2131,99749
region,London,E12000007,2020-12-25,43190,6318340,42028,6220722,1162,97618
region,London,E12000007,2020-12-24,75587,6275150,68832,6178694,6755,96456
region,London,E12000007,2020-12-23,83601,6199563,73782,6109862,9819,89701
region,London,E12000007,2020-12-22,86749,6115962,78613,6036080,8136,79882
region,London,E12000007,2020-12-21,89949,6029213,83785,5957467,6164,71746
region,London,E12000007,2020-12-20,63830,5939264,60795,5873682,3035,65582
region,London,E12000007,2020-12-19,88805,5875434,86320,5812887,2485,62547
region,London,E12000007,2020-12-18,75801,5786629,72204,5726567,3597,60062
region,London,E12000007,2020-12-17,70038,5710828,67392,5654363,2646,56465
region,London,E12000007,2020-12-16,58125,5640790,56261,5586971,1864,53819
region,London,E12000007,2020-12-15,59990,5582665,57623,5530710,2367,51955
region,London,E12000007,2020-12-14,62141,5522675,58994,5473087,3147,49588
region,London,E12000007,2020-12-13,44970,5460534,44647,5414093,323,46441
region,London,E12000007,2020-12-12,40878,5415564,40298,5369446,580,46118
region,London,E12000007,2020-12-11,57965,5374686,54159,5329148,3806,45538
region,London,E12000007,2020-12-10,59164,5316721,56859,5274989,2305,41732
region,London,E12000007,2020-12-09,54450,5257557,50877,5218130,3573,39427
region,London,E12000007,2020-12-08,48160,5203107,43847,5167253,4313,35854
region,London,E12000007,2020-12-07,41963,5154947,37199,5123406,4764,31541
region,London,E12000007,2020-12-06,31290,5112984,29377,5086207,1913,26777
region,London,E12000007,2020-12-05,40220,5081694,37099,5056830,3121,24864
region,London,E12000007,2020-12-04,47654,5041474,42428,5019731,5226,21743
region,London,E12000007,2020-12-03,50042,4993820,45813,4977303,4229,16517
region,London,E12000007,2020-12-02,43493,4943778,39856,4931490,3637,12288
region,London,E12000007,2020-12-01,47795,4900285,44089,4891634,3706,8651
region,London,E12000007,2020-11-30,39990,4852490,35951,4847545,4039,4945
region,London,E12000007,2020-11-29,26345,4812500,26263,4811594,82,906
region,London,E12000007,2020-11-28,32007,4786155,31944,4785331,63,824
region,London,E12000007,2020-11-27,42802,4754148,42457,4753387,345,761
region,London,E12000007,2020-11-26,42634,4711346,42587,4710930,47,416
region,London,E12000007,2020-11-25,40176,4668712,40129,4668343,47,369
region,London,E12000007,2020-11-24,41604,4628536,41549,4628214,55,322
region,London,E12000007,2020-11-23,38249,4586932,38217,4586665,32,267
region,London,E12000007,2020-11-22,24480,4548683,24473,4548448,7,235
region,London,E12000007,2020-11-21,35469,4524203,35457,4523975,12,228
region,London,E12000007,2020-11-20,45311,4488734,45278,4488518,33,216
region,London,E12000007,2020-11-19,37039,4443423,37000,4443240,39,183
region,London,E12000007,2020-11-18,35417,4406384,35402,4406240,15,144
region,London,E12000007,2020-11-17,39994,4370967,39984,4370838,10,129
region,London,E12000007,2020-11-16,32792,4330973,32772,4330854,20,119
region,London,E12000007,2020-11-15,31215,4298181,31207,4298082,8,99
region,London,E12000007,2020-11-14,32800,4266966,32794,4266875,6,91
region,London,E12000007,2020-11-13,39058,4234166,39048,4234081,10,85
region,London,E12000007,2020-11-12,39216,4195108,39204,4195033,12,75
region,London,E12000007,2020-11-11,44522,4155892,44513,4155829,9,63
region,London,E12000007,2020-11-10,37972,4111370,37954,4111316,18,54
region,London,E12000007,2020-11-09,33865,4073398,33858,4073362,7,36
region,London,E12000007,2020-11-08,34589,4039533,34586,4039504,3,29
region,London,E12000007,2020-11-07,40694,4004944,40684,4004918,10,26
region,London,E12000007,2020-11-06,50288,3964250,50280,3964234,8,16
region,London,E12000007,2020-11-05,46736,3913962,46735,3913954,1,8
region,London,E12000007,2020-11-04,48045,3867226,48045,3867219,0,7
region,London,E12000007,2020-11-03,57584,3819181,57584,3819174,0,7
region,London,E12000007,2020-11-02,73612,3761597,73612,3761590,0,7
region,London,E12000007,2020-11-01,36753,3687985,36753,3687978,0,7
region,London,E12000007,2020-10-31,47901,3651232,47901,3651225,0,7
region,London,E12000007,2020-10-30,56341,3603331,56341,3603324,0,7
region,London,E12000007,2020-10-29,64698,3546990,64695,3546983,3,7
region,London,E12000007,2020-10-28,34889,3482292,34889,3482288,0,4
region,London,E12000007,2020-10-27,37406,3447403,37405,3447399,1,4
region,London,E12000007,2020-10-26,36881,3409997,36881,3409994,0,3
region,London,E12000007,2020-10-25,30425,3373116,30424,3373113,1,3
region,London,E12000007,2020-10-24,28717,3342691,28717,3342689,0,2
region,London,E12000007,2020-10-23,38997,3313974,38996,3313972,1,2
region,London,E12000007,2020-10-22,40271,3274977,40270,3274976,1,1
region,London,E12000007,2020-10-21,32927,3234706,32927,3234706,,
region,London,E12000007,2020-10-20,43466,3201779,43466,3201779,,
region,London,E12000007,2020-10-19,36225,3158313,36225,3158313,,
region,London,E12000007,2020-10-18,29955,3122088,29955,3122088,,
region,London,E12000007,2020-10-17,31526,3092133,31526,3092133,,
region,London,E12000007,2020-10-16,38309,3060607,38309,3060607,,
region,London,E12000007,2020-10-15,37274,3022298,37274,3022298,,
region,London,E12000007,2020-10-14,34830,2985024,34830,2985024,,
region,London,E12000007,2020-10-13,36642,2950194,36642,2950194,,
region,London,E12000007,2020-10-12,39015,2913552,39015,2913552,,
region,London,E12000007,2020-10-11,22561,2874537,22561,2874537,,
region,London,E12000007,2020-10-10,21880,2851976,21880,2851976,,
region,London,E12000007,2020-10-09,32883,2830096,32883,2830096,,
region,London,E12000007,2020-10-08,34897,2797213,34897,2797213,,
region,London,E12000007,2020-10-07,32813,2762316,32813,2762316,,
region,London,E12000007,2020-10-06,37176,2729503,37176,2729503,,
region,London,E12000007,2020-10-05,34045,2692327,34045,2692327,,
region,London,E12000007,2020-10-04,20126,2658282,20126,2658282,,
region,London,E12000007,2020-10-03,24718,2638156,24718,2638156,,
region,London,E12000007,2020-10-02,31012,2613438,31012,2613438,,
region,London,E12000007,2020-10-01,31392,2582426,31392,2582426,,
